link,data,miasto,dzielnica,cena,od,poziom,umeblowanie,zabudowa,powierzchnia,pokoje,czynsz dodatkowo
https://www.olx.pl/oferta/kawalerka-wolna-od-juz-CID3-IDHLVnl.html#462c1f036d,17 kwietnia 2021,"Warszawa,",Bielany,1297,Osoby prywatnej,10,1,Blok,23,Kawalerka,1
https://www.olx.pl/oferta/ladne-mieszkanie-1-pokoj-i-kuchnia-przy-lazienkach-bezposrednio-CID3-IDJ52gN.html#4c015e879d,17 kwietnia 2021,"Warszawa,",Mokotów,2000,Osoby prywatnej,3,1,Kamienica,36,Kawalerka,1
https://www.olx.pl/oferta/mieszkanie-3-pokojowe-na-ulicy-hozej-w-centrum-warszawy-CID3-IDJs0vn.html#67d7dd83b9,17 kwietnia 2021,"Warszawa,",Śródmieście,3399,Osoby prywatnej,3,1,Apartamentowiec,64,3,1
https://www.olx.pl/oferta/przytulna-kawalerka-do-wynajecia-warszawa-zeran-parking-gratis-CID3-IDICUAV.html#db57b3b96a;promoted,17 kwietnia 2021,"Warszawa,",Białołęka,1095,Osoby prywatnej,4,1,Blok,20,Kawalerka,300
https://www.olx.pl/oferta/kawalerka-36-m2-ul-bachmacka-5-oddzielna-kuchnia-bezposrednio-CID3-IDGK9Tb.html#bf67b634bc,17 kwietnia 2021,"Warszawa,",Mokotów,1750,Osoby prywatnej,Parter,1,Kamienica,36,Kawalerka,1
https://www.olx.pl/oferta/mieszkanie-2-oddzielne-pokoje-garaz-przy-metrze-CID3-IDHQ06v.html#2356d92a79,17 kwietnia 2021,"Warszawa,",Bielany,2600,Osoby prywatnej,6,1,Blok,56,2,1
https://www.olx.pl/oferta/mieszkanie-pod-wynajem-30m2-targowek-warszawa-CID3-IDJlPiP.html#4a0499b52f;promoted,8 kwietnia 2021,"Warszawa,",Targówek,1550,Osoby prywatnej,2,1,Apartamentowiec,30,2,1
https://www.olx.pl/oferta/wynajme-mieszkanie-CID3-IDIKM0A.html#72d7a7dc4d,17 kwietnia 2021,"Warszawa,",Praga-Południe,2050,Osoby prywatnej,2,1,Apartamentowiec,51,2,450
https://www.olx.pl/oferta/wynajme-mieszkanie-gibalskiego-17-ok-42-m2-kuchnia-2-osobne-pokoje-CID3-IDGxJRp.html#14aaf70e72;promoted,17 kwietnia 2021,"Warszawa,",Wola,2200,Osoby prywatnej,3,1,Blok,42,2,1
https://www.olx.pl/oferta/wynajme-2-pokojowe-mieszkanie-40m-na-brodnie-CID3-IDIL7aD.html#ff23ca5e79;promoted,16 kwietnia 2021,"Warszawa,",Targówek,1900,Osoby prywatnej,Parter,1,Blok,40,2,1
https://www.olx.pl/oferta/mieszkanie-do-wynajecia-ursynow-CID3-IDILecX.html#5a80808650,16 kwietnia 2021,"Warszawa,",Ursynów,1700,Osoby prywatnej,8,1,Blok,40,Kawalerka,550
https://www.olx.pl/oferta/mangalia-mokotow-nowe-mieszkanie-46m2-miejsce-parkingowe-i-komorka-CID3-IDJrCYo.html#908e50fc64;promoted,17 kwietnia 2021,"Warszawa,",Mokotów,2500,Osoby prywatnej,7,1,Blok,46,2,500
https://www.olx.pl/oferta/mokotow-mokosfera-nowe-bezposrednio-2-pokoje-CID3-IDJuiAa.html#bf67b634bc;promoted,17 kwietnia 2021,"Warszawa,",Mokotów,2450,Osoby prywatnej,3,1,Apartamentowiec,43,2,450
https://www.olx.pl/oferta/pokoj-na-mokotowie-700-zl-CID3-IDJu3cc.html#67d7dd83b9,17 kwietnia 2021,"Warszawa,",Mokotów,700,Osoby prywatnej,2,1,Blok,50,3,1
https://www.olx.pl/oferta/wynajme-nowe-mieszkanie-wraz-z-miejscem-postojowym-CID3-IDDVeci.html#839a743bc2,17 kwietnia 2021,"Warszawa,",Włochy,2000,Osoby prywatnej,8,1,Blok,35,2,370
https://www.olx.pl/oferta/48m-bezposrednio-mieszkanie-zeran-wysoki-standard-rtv-agd-net-CID3-IDFPGtQ.html#bf67b634bc;promoted,17 kwietnia 2021,"Warszawa,",Białołęka,1900,Osoby prywatnej,1,1,Apartamentowiec,48,2,500
https://www.olx.pl/oferta/klimatyczne-wysokie-mieszkanie-dwupokojowe-w-kamienicy-pod-gigantami-CID3-IDJu3TO.html#67d7dd83b9,17 kwietnia 2021,"Warszawa,",Śródmieście,2950,Biuro / Deweloper,2,1,Kamienica,45,2,1
https://www.olx.pl/oferta/kawalerka-w-super-lokalizacji-CID3-IDJ71vN.html#0d85410fb0;promoted,17 kwietnia 2021,"Warszawa,",Żoliborz,1600,Osoby prywatnej,3,1,Blok,25,Kawalerka,1
https://www.olx.pl/oferta/promocja-wynajme-ladna-kawalerke-na-ochocie-w-super-cenie-CID3-IDJ1RA2.html#db10b50a4b;promoted,17 kwietnia 2021,"Warszawa,",Włochy,1400,Osoby prywatnej,Parter,1,Kamienica,20,Kawalerka,100
https://www.olx.pl/oferta/osiedle-oxygen-piekny-apartament-2013r-blisko-centrum-przy-hiltonie-CID3-IDJtASX.html#ff23ca5e79,16 kwietnia 2021,"Warszawa,",Wola,3200,Biuro / Deweloper,3,1,Apartamentowiec,55,2,1
https://www.olx.pl/oferta/saska-kepa-mieszkanie-wynajem-okazja-centrum-for-rent-praga-poludnie-CID3-IDJ9skj.html#37e50b5da4;promoted,17 kwietnia 2021,"Warszawa,",Praga-Południe,1900,Osoby prywatnej,Parter,1,Blok,50,3,600
https://www.olx.pl/oferta/wynajme-mieszkanie-warszawa-29-m2-CID3-IDJuAh4.html#72d7a7dc4d,17 kwietnia 2021,"Warszawa,",Białołęka,1000,Osoby prywatnej,1,1,Blok,29,Kawalerka,400
https://www.olx.pl/oferta/wynajme-kawalerke-w-atrakcyjnej-lokalizacji-ochota-po-remoncie-CID3-IDIwGSQ.html#72d7a7dc4d,17 kwietnia 2021,"Warszawa,",Ochota,1550,Osoby prywatnej,6,1,Blok,27,Kawalerka,350
